"ISIN","Company","Country"
"US7170811035","Pfizer Inc","United States of America"
"US58933Y1055","Merck & Co Inc","United States of America"
"GB0009252882","GSK plc","Unable to resolve all requested identifiers."
"US5324571083","Eli Lilly and Co","United States of America"
"DE000BAY0017","Bayer AG","Germany"
"CH0012005267","Novartis AG","Switzerland"
"US1101221083","Bristol-Myers Squibb Co","United States of America"
"US0028241000","Abbott Laboratories","United States of America"
"GB0009895292","AstraZeneca plc","United Kingdom"
"CH0012032048","Roche Holding AG","Switzerland"
"JP3463000004","Takeda Pharmaceutical Co Ltd","Japan"
"US4781601046","Johnson & Johnson","United States of America"
"GB00B10RZP78","Unilever PLC","United Kingdom"
"US7427181091","Procter & Gamble Co","United States of America"
"NL0000009538","Koninklijke Philips NV","Netherlands"
"DE0007236101","Siemens AG","Germany"
"US1667641005","Chevron Corp","United States of America"
"US37045V1008","General Motors Co","United States of America"
"GB0005405286","HSBC Holdings plc","United Kingdom"
"NL0011821202","ING Groep NV","Netherlands"
"US1912161007","Coca-Cola Co","United States of America"
"CH0038863350","Nestle SA","Switzerland"
"US8552441094","Starbucks Corp","United States of America"
"CH0012221716","Abb Ltd","Switzerland"
"GB0007188757","Rio Tinto plc","United Kingdom"
"GB00BP6MXD84","Shell PLC","United Kingdom"
"US2605571031","Dow Inc","United States of America"
"US4592001014","International Business Machines Corp","United States of America"
"GB00B1XZS820","Anglo American plc","United Kingdom"
"GB0004082847","Standard Chartered PLC","United Kingdom"
"US30231G1022","Exxon Mobil Corp","United States of America"
"NL0000009165","Heineken NV","Netherlands"
"US7181721090","Philip Morris International Inc","United States of America"
"US9311421039","Walmart Inc","United States of America"
"US8425871071","Southern Co","United States of America"
"GB0002875804","British American Tobacco plc","United Kingdom"
"INE059A01026","Cipla Ltd","India"
"JP3401400001","Sumitomo Chemical Co Ltd","Japan"
"DE000BASF111","BASF SE","Germany"
"US6541061031","Nike Inc","United States of America"
"DE0005190003","Bayerische Motoren Werke AG","Germany"
"DE0008232125","Deutsche Lufthansa AG","Germany"
"DE0007664039","Volkswagen AG","Germany"
"FR0000120644","Danone SA","France"
"GB0007980591","BP plc","United Kingdom"
"FR0000120321","L'Oreal SA","France"
"NO0005052605","Norsk Hydro ASA","Norway"
"DE0007100000","Mercedes-Benz Group AG","Germany"
"DE0005140008","Deutsche Bank AG","Germany"
"SE0000108656","Telefonaktiebolaget LM Ericsson","Sweden"
"US5801351017","Mcdonald's Corp","United States of America"
"DE0007037129","RWE AG","Germany"
"NO0010096985","Equinor ASA","Norway"
"INE081A01012","Tata Steel Ltd","Unable to resolve all requested identifiers."
"US0758871091","Becton Dickinson and Co","United States of America"
"US4581401001","Intel Corp","United States of America"
"FI0009000681","Nokia Oyj","Finland"
"GB0002374006","Diageo plc","United Kingdom"
"US2546871060","Walt Disney Co","United States of America"
"US5949181045","Microsoft Corp","United States of America"
"GB0030913577","BT Group PLC","United Kingdom"
"US3453708600","Ford Motor Co","United States of America"
"US42824C1099","Hewlett Packard Enterprise Co","United States of America"
"US3696041033","General Electric Co","Unable to resolve all requested identifiers."
"US92556H2067","Paramount Global","United States of America"
"FR0000120271","TotalEnergies SE","France"
"NL0013267909","Akzo Nobel NV","Netherlands"
"BE0003470755","Solvay SA","Belgium"
"US1890541097","Clorox Co","United States of America"
"US4878361082","Kellogg Co","United States of America"
"CA0977512007","Bombardier Inc","Unable to resolve all requested identifiers."
"JP3866800000","Panasonic Corp","Japan"
"PHY272571498","Globe Telecom Inc","Philippines"
"US2910111044","Emerson Electric Co","United States of America"
"US0138721065","Alcoa Corp","United States of America"
"IE00B4BNMY34","Accenture PLC","Ireland; Republic of"
"US92343V1044","Verizon Communications Inc","United States of America"
"FR0010208488","Engie SA","France"
"JP3899800001","Mitsubishi Motors Corp","Japan"
"US2774614067","Eastman Kodak Co","United States of America"
"US75513E1010","Raytheon Technologies Corp","United States of America"
"US17275R1023","Cisco Systems Inc","United States of America"
"US68389X1054","Oracle Corp","United States of America"
"US0268747849","American International Group Inc","United States of America"
"US0258161092","American Express Co","United States of America"
"US7134481081","PepsiCo Inc","United States of America"
"US00724F1012","Adobe Inc","United States of America"
"US4278661081","Hershey Co","United States of America"
"US3647601083","Gap Inc","United States of America"
"US0394831020","Archer-Daniels-Midland Co","United States of America"
"US0200021014","Allstate Corp","United States of America"
"JP3242800005","Canon Inc","Japan"
"SE0000103814","Electrolux AB","NULL"
"JP3733000008","NEC Corp","Japan"
"JP3435000009","Sony Corp","Japan"
"CH0126881561","Swiss Re AG","Switzerland"
"SE0000113250","Skanska AB","Sweden"
"ZAE000006896","Sasol Ltd","South Africa"
"FR0000131906","Renault SA","France"
"DE0006048432","Henkel AG & Co KgaA","Germany"
"JP3585800000","Tokyo Electric Power Company Holdings Inc","Japan"
"SE0000115446","Volvo AB","Sweden"
"CH0244767585","UBS Group AG","Switzerland"
"DE0005557508","Deutsche Telekom AG","Germany"
"US1491231015","Caterpillar Inc","United States of America"
"US0584981064","Ball Corp","United States of America"
"IE00BY7QL619","Johnson Controls International PLC","Ireland; Republic of"
"US8545021011","Stanley Black & Decker Inc","United States of America"
"FR0010220475","Alstom SA","France"
"US5770811025","Mattel Inc","United States of America"
"GB0000961622","Balfour Beatty PLC","United Kingdom"
"DE0007164600","SAP SE","Germany"
"FR0000133308","Orange SA","France"
"SE0000106270","H & M Hennes & Mauritz AB","Sweden"
"US6092071058","Mondelez International Inc","United States of America"
"US4370761029","Home Depot Inc","United States of America"
"GB0031348658","Barclays plc","United Kingdom"
"DE000A1EWWW0","Adidas AG","Germany"
"ES0173516115","Repsol SA","Spain"
"BRPETRACNPR6","Petroleo Brasileiro SA Petrobras","Brazil"
"CA4530384086","Imperial Oil Ltd","Canada"
"CA8672241079","Suncor Energy Inc","Canada"
"AN8068571086","Schlumberger NV","United States of America"
"US05722G1004","Baker Hughes Co","United States of America"
"US4062161017","Halliburton Co","United States of America"
"US0605051046","Bank of America Corp","United States of America"
"US88579Y1010","3M Co","United States of America"
"US7443201022","Prudential Financial Inc","United States of America"
"US69351T1060","PPL Corp","United States of America"
"US0970231058","Boeing Co","United States of America"
"US6200763075","Motorola Solutions Inc","United States of America"
"ES0177542018","International Consolidated Airlines Group SA","United Kingdom"
"US6745991058","Occidental Petroleum Corp","United States of America"
"US4180561072","Hasbro Inc","United States of America"
"IT0003132476","Eni SpA","Italy"
"FR0000120073","L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA","France"
"CNE1000007Q1","PetroChina Co Ltd","China"
"MYL4863OO006","Telekom Malaysia Bhd","Malaysia"
"GB00BH4HKS39","Vodafone Group PLC","United Kingdom"
"US5398301094","Lockheed Martin Corp","United States of America"
"ZAE000015228","Harmony Gold Mining Company Ltd","South Africa"
"US6516391066","Newmont Corporation","United States of America"
"US46625H1005","JPMorgan Chase & Co","United States of America"
"JP3818000006","Fujitsu Ltd","Japan"
"GB0031274896","Marks and Spencer Group PLC","United Kingdom"
"GB00BDR05C01","National Grid plc","United Kingdom"
"GB0006776081","Pearson plc","United Kingdom"
"CH0210483332","Compagnie Financiere Richemont SA","Switzerland"
"AU000000AWC3","Alumina Ltd","Australia"
"CA0679011084","Barrick Gold Corp","Canada"
"TW0002002003","China Steel Corp","Taiwan"
"BRVALEACNOR0","Vale SA","Brazil"
"ZAE000018123","Gold Fields Ltd","South Africa"
"ZAE000083648","Impala Platinum Holdings Ltd","South Africa"
"JP3386030005","JFE Holdings Inc","Japan"
"CA4969024047","Kinross Gold Corp","Canada"
"JP3381000003","Nippon Steel Corp","Japan"
"KR7005490008","POSCO","Korea; Republic (S. Korea)"
"JP3102000001","Aisin Corp","Japan"
"JP3830800003","Bridgestone Corp","Japan"
"JP3551500006","Denso Corp","Japan"
"JP3814800003","Subaru Corp","Japan"
"JP3854600008","Honda Motor Co Ltd","Japan"
"KR7005380001","Hyundai Motor Co","Korea; Republic (S. Korea)"
"CA5592224011","Magna International Inc","Canada"
"JP3868400007","Mazda Motor Corp","Japan"
"JP3672400003","Nissan Motor Co Ltd","Japan"
"JP3397200001","Suzuki Motor Corp","Japan"
"JP3633400001","Toyota Motor Corp","Japan"
"US4128221086","Harley-Davidson Inc","United States of America"
"KR7047050000","Posco International Corp","Korea; Republic (S. Korea)"
"NL0011540547","ABN Amro Bank NV","Netherlands"
"ES0113211835","Banco Bilbao Vizcaya Argentaria SA","Spain"
"ES0113900J37","Banco Santander SA","Spain"
"FR0000131104","BNP Paribas SA","France"
"US3167731005","Fifth Third Bancorp","United States of America"
"US1729674242","Citigroup Inc","United States of America"
"GB0008706128","Lloyds Banking Group plc","United Kingdom"
"JP3902900004","Mitsubishi UFJ Financial Group Inc","Japan"
"US6174464486","Morgan Stanley","United States of America"
"AU000000NAB4","National Australia Bank Ltd","Australia"
"CA7800871021","Royal Bank of Canada","Canada"
"GB00B7T77214","Natwest Group PLC","Unable to resolve all requested identifiers."
"FR0000130809","Societe Generale SA","France"
"US9029733048","U.S. Bancorp","United States of America"
"US9497461015","Wells Fargo & Co","United States of America"
"ES0178430E18","Telefonica SA","Spain"
"FR0000121485","Kering SA","France"
"US0326541051","Analog Devices Inc","United States of America"
"US0382221051","Applied Materials Inc","United States of America"
"US0378331005","Apple Inc","United States of America"
"US98421M1062","Xerox Holdings Corp","United States of America"
"JP3973400009","Ricoh Co Ltd","Japan"
"JP3982800009","Rohm Co Ltd","Japan"
"KR7005930003","Samsung Electronics Co Ltd","Korea; Republic (S. Korea)"
"NL0000226223","STMicroelectronics NV","Netherlands"
"TW0002330008","Taiwan Semiconductor Manufacturing Co Ltd","Taiwan"
"US8825081040","Texas Instruments Inc","United States of America"
"JP3592200004","Toshiba Corp","Japan"
"FR0000120172","Carrefour SA","France"
"FR0000125585","Casino Guichard Perrachon SA","France"
"FR0000120404","Accor SA","France"
"MYL5183OO008","PETRONAS Chemicals Group Bhd","Malaysia"
"US35671D8570","Freeport-McMoRan Inc","United States of America"
"DK0010181759","Carlsberg A/S","Denmark"
"US3135861090","Federal National Mortgage Association","United States of America"
"FR0000120503","Bouygues SA","France"
"JP3388200002","Aeon Co Ltd","Japan"
"US0758961009","Bed Bath & Beyond Inc","United States of America"
"US0865161014","Best Buy Co Inc","United States of America"
"US14149Y1082","Cardinal Health Inc","United States of America"
"US22160K1051","Costco Wholesale Corp","United States of America"
"US1266501006","CVS Health Corp","United States of America"
"GB0008847096","Tesco PLC","Unable to resolve all requested identifiers."
"ES0148396007","Industria de Diseno Textil SA","Spain"
"US2786421030","eBay Inc","United States of America"
"GB0033195214","Kingfisher PLC","United Kingdom"
"US5002551043","Kohls Corp","United States of America"
"CA51925D1309","Bath & Body Works Inc","Canada"
"US5486611073","Lowe's Companies Inc","United States of America"
"US58155Q1031","McKesson Corp","United States of America"
"US87612E1064","Target Corp","United States of America"
"US8725401090","TJX Companies Inc","United States of America"
"AU000000WES1","Wesfarmers Ltd","Australia"
"US38141G1040","Goldman Sachs Group Inc","United States of America"
"US02079K3059","Alphabet Inc","United States of America"
"FR0000121014","LVMH Moet Hennessy Louis Vuitton SE","France"
"US4601461035","International Paper Co","United States of America"
"JP3762600009","Nomura Holdings Inc","Japan"
"JP3637300009","Trend Micro Inc","Japan"
"US6687711084","Gen Digital Inc","United States of America"
"US0091581068","Air Products and Chemicals Inc","United States of America"
"JP3111200006","Asahi Kasei Corp","Japan"
"TW0001326007","Formosa Chemicals & Fibre Corp","Taiwan"
"JP3897700005","Mitsubishi Chemical Holdings Corp","Japan"
"FI0009005961","Stora Enso Oyj","Finland"
"US0231351067","Amazon.com Inc","United States of America"
"JP3888300005","Mitsui Chemicals Inc","Japan"
"CL0000001314","Empresas CMPC SA","Chile"
"JP3174410005","Oji Holdings Corp","Japan"
"ZAE000006284","Sappi Ltd","South Africa"
"FI0009005987","UPM-Kymmene Oyj","Finland"
"TW0001303006","Nan Ya Plastics Corp","Taiwan"
"US6935061076","PPG Industries Inc","United States of America"
"JP3371200001","Shin-Etsu Chemical Co Ltd","Japan"
"JP3735400008","Nippon Telegraph and Telephone Corp","Japan"
"PTPTC0AM0009","Pharol SGPS SA","Portugal"
"NL0000009082","Koninklijke KPN NV","Netherlands"
"CH0008742519","Swisscom AG","Switzerland"
"IT0003497168","Telecom Italia SpA","Italy"
"SE0000667925","Telia Company AB","Sweden"
"AU000000TLS2","Telstra Group Ltd","Australia"
"JP3359600008","Sharp Corp","Japan"
"JP3756600007","Nintendo Co Ltd","Japan"
"GB00BD6K4575","Compass Group plc","United Kingdom"
"PA1436583006","Carnival Corp","United States of America"
"KR7066570003","LG Electronics Inc","Korea; Republic (S. Korea)"
"JP3814000000","Fujifilm Holdings Corp","Japan"
"US20030N1019","Comcast Corp","United States of America"
"US18453H1068","Clear Channel Outdoor Holdings Inc","United States of America"
"US36472T1097","Gannett Co Inc","United States of America"
"US65249B1098","News Corp","United States of America"
"FR0000127771","Vivendi SA","France"
"US78409V1044","S&P Global Inc","United States of America"
"US6819191064","Omnicom Group Inc","United States of America"
"GB00B2B0DG97","Relx PLC","United Kingdom"
"JE00B8KF9B49","WPP plc","United Kingdom"
"CA8849037095","Thomson Reuters Corp","Unable to resolve all requested identifiers."
"NL0015000N09","MFE-MEDIAFOREUROPE NV","Italy"
"TW0002353000","Acer Inc","Taiwan"
"SG1F60858221","Singapore Technologies Engineering Ltd","Singapore"
"CA0641491075","Bank of Nova Scotia","Canada"
"KR7017670001","SK Telecom Co Ltd","Korea; Republic (S. Korea)"
"JP3137200006","Isuzu Motors Ltd","Japan"
"FR0000120628","AXA SA","France"
"DE0008404005","Allianz SE","Germany"
"JP3788600009","Hitachi Ltd","Japan"
"CA0585861085","Ballard Power Systems Inc","Canada"
"ZAE000109815","Standard Bank Group Ltd","South Africa"
"US69047Q1022","Ovintiv Inc","United States of America"
"DK0010244508","AP Moeller - Maersk A/S","Denmark"
"CH0011075394","Zurich Insurance Group AG","Switzerland"
"CH0012138605","Adecco Group AG","Switzerland"
"CH0012142631","Clariant AG","Switzerland"
"CH0012255151","Swatch Group AG","Switzerland"
"CH0002497458","SGS SA","Unable to resolve all requested identifiers."
"CH0013841017","Lonza Group AG","Switzerland"
"CH0102484968","Julius Baer Gruppe AG","Switzerland"
"US5010441013","Kroger Co","United States of America"
"GB00B019KW72","J Sainsbury PLC","United Kingdom"
"CA3759161035","Gildan Activewear Inc","Canada"
"CLP3710M1090","Enel Generacion Chile SA","Chile"
"AU000000WOW2","Woolworths Group Ltd","Australia"
"JP3118000003","Asics Corp","Japan"
"US7512121010","Ralph Lauren Corp","United States of America"
"JP3197800000","Omron Corp","Japan"
"US56418H1005","ManpowerGroup Inc","United States of America"
"US0255371017","American Electric Power Company Inc","United States of America"
"IL0006290147","Teva Pharmaceutical Industries Ltd","Israel"
"US7739031091","Rockwell Automation Inc","United States of America"
"BMG169621056","Bunge Ltd","United States of America"
"GB00B74CDH82","Cairn Energy PLC","Unable to resolve all requested identifiers."
"JP3942800008","Yamaha Motor Co Ltd","Japan"
"JP3898400001","Mitsubishi Corp","Japan"
"CH0010645932","Givaudan SA","Switzerland"
"CH0012410517","Baloise Holding AG","Switzerland"
"CH0000816824","OC Oerlikon Corporation AG Pfaeffikon","Switzerland"
"CH0012268360","Kudelski SA","Switzerland"
"BE0974293251","Anheuser Busch Inbev NV","Belgium"
"DE0007500001","ThyssenKrupp AG","Germany"
"ZAE000054045","African Rainbow Minerals Ltd","South Africa"
"US0718131099","Baxter International Inc","United States of America"
"US20825C1045","ConocoPhillips","United States of America"
"US4385161066","Honeywell International Inc","United States of America"
"US5745991068","Masco Corp","United States of America"
"GB00BF8Q6K64","Abrdn PLC","United Kingdom"
"LU1598757687","ArcelorMittal SA","Luxembourg"
"PHY0486V1154","Ayala Corp","Philippines"
"JP3289800009","Kobe Steel Ltd","Japan"
"GB00BZ4BQC70","Johnson Matthey plc","United Kingdom"
"AU000000BSL0","BlueScope Steel Ltd","Australia"
"US31428X1063","FedEx Corp","United States of America"
"JP3386450005","Eneos Holdings Inc","Japan"
"US8085131055","Charles Schwab Corp","United States of America"
"US5658491064","Marathon Oil Corp","United States of America"
"US4448591028","Humana Inc","United States of America"
"US26441C2044","Duke Energy Corp","United States of America"
"US6668071029","Northrop Grumman Corp","United States of America"
"US5719032022","Marriott International Inc","United States of America"
"AU000000WBC1","Westpac Banking Corp","Australia"
"US3755581036","Gilead Sciences Inc","United States of America"
"US4943681035","Kimberly-Clark Corp","United States of America"
"DE000CBK1001","Commerzbank AG","Germany"
"TH0245010002","Thai Airways International PCL","Thailand"
"US0079031078","Advanced Micro Devices Inc","United States of America"
"DE0006231004","Infineon Technologies AG","Germany"
"IT0005278236","Pirelli & C SpA","Italy"
"ZAE000043485","AngloGold Ashanti Ltd","Unable to resolve all requested identifiers."
"US0640581007","Bank of New York Mellon Corp","United States of America"
"US4932671088","Keycorp","United States of America"
"FR0000121972","Schneider Electric SE","France"
"FR0000121261","Compagnie Generale des Etablissements Michelin SCA","Unable to resolve all requested identifiers."
"US3703341046","General Mills Inc","United States of America"
"GB00B24CGK77","Reckitt Benckiser Group plc","United Kingdom"
"ARDEUT112109","E.ON SE","Germany"
"JP3224200000","Kawasaki Heavy Industries Ltd","Japan"
"FR0000125486","Vinci SA","France"
"RU0007252813","AK Alrosa PAO","Russia"
"AU000000STO6","Santos Ltd","Australia"
"SG9999000020","Flex Ltd","Singapore"
"INE038A01020","Hindalco Industries Ltd","India"
"US3434121022","Fluor Corp","United States of America"
"US00130H1059","AES Corp","United States of America"
"DK0060336014","Novozymes A/S","Denmark"
"JP3684000007","Nitto Denko Corp","Japan"
"US9633201069","Whirlpool Corp","United States of America"
"JP3600200004","Toho Gas Co Ltd","Japan"
"US3825501014","Goodyear Tire & Rubber Co","United States of America"
"US9884981013","Yum! Brands Inc","United States of America"
"US2473617023","Delta Air Lines Inc","United States of America"
"MXP320321310","Fomento Economico Mexicano SAB de CV","Mexico"
"RU0007661625","Gazprom PAO","Russia"
"US9598021098","Western Union Co","United States of America"
"FR0000045072","Credit Agricole SA","France"
"FR0000120693","Pernod Ricard SA","France"
"KR7051910008","LG Chem Ltd","Korea; Republic (S. Korea)"
"CA05534B7604","BCE Inc","Canada"
"US4612021034","Intuit Inc","United States of America"
"RU0007288411","GMK Noril'skiy Nikel' PAO","Russia"
"JP3205800000","Kao Corp","Japan"
"US8760301072","Tapestry Inc","United States of America"
"SE0000112724","Svenska Cellulosa SCA AB","Sweden"
"JP3351600006","Shiseido Co Ltd","Japan"
"US1729081059","Cintas Corp","United States of America"
"US5184391044","Estee Lauder Companies Inc","United States of America"
"US2810201077","Edison International","United States of America"
"DE0006599905","Merck KGaA","Germany"
"BMG3122U1457","Esprit Holdings Ltd","Hong Kong"
"SE0001174970","Millicom International Cellular SA","Luxembourg"
"DE0007257503","Ceconomy AG","Germany"
"TW0001301000","Formosa Plastics Corp","Taiwan"
"ZAE000066692","Aspen Pharmacare Holdings Ltd","South Africa"
"US92556V1061","Viatris Inc","United States of America"
"SE0005190238","Tele2 AB","Sweden"
"INE075A01022","Wipro Ltd","India"
"CNE000000TK5","ZTE Corp","China"
"US8447411088","Southwest Airlines Co","United States of America"
"US48242W1062","KBR Inc","United States of America"
"JP3538800008","TDK Corp","Japan"
"IE00BZ12WP82","Linde plc","Unable to resolve all requested identifiers."
"FR0000124141","Veolia Environnement SA","France"
"BRNTCOACNOR5","Natura & Co Holding SA","Brazil"
"FR0000130403","Christian Dior SE","France"
"US02209S1033","Altria Group Inc","United States of America"
"US1941621039","Colgate-Palmolive Co","United States of America"
"FR0000121329","Thales SA","France"
"DE0005552004","Deutsche Post AG","Germany"
"ZAE000044897","Telkom SA SOC Ltd","South Africa"
"JP3778630008","Bandai Namco Holdings Inc","Japan"
"TW0002204005","China Motor Corp","Taiwan"
"US6703461052","Nucor Corp","United States of America"
"GB00BDVZYZ77","International Distributions Services PLC","United Kingdom"
"GB0002634946","BAE Systems plc","United Kingdom"
"JP3944130008","USS Co Ltd","Japan"
"JP3160400002","Eisai Co Ltd","Japan"
"CNE0000018G1","China Petroleum & Chemical Corp","China"
"US46982L1089","Jacobs Solutions Inc","United States of America"
"INE009A01021","Infosys Ltd","India"
"ZAE000013181","Anglo American Platinum Ltd","South Africa"
"US6005441000","MillerKnoll Inc","United States of America"
"BE0974264930","Ageas SA","Belgium"
"US00846U1016","Agilent Technologies Inc","United States of America"
"US6153691059","Moody's Corp","United States of America"
"NL0011794037","Koninklijke Ahold Delhaize NV","Netherlands"
"US3134003017","Federal Home Loan Mortgage Corp","United States of America"
"AU0000088338","Ampol Ltd","Australia"
"AU0000224040","Woodside Petroleum Ltd","Australia"
"INE213A01029","Oil and Natural Gas Corporation Ltd","India"
"AU000000QAN2","Qantas Airways Ltd","Australia"
"IT0003128367","Enel SpA","Italy"
"US88337F1057","ODP Corp","United States of America"
"US05329W1027","AutoNation Inc","United States of America"
"US1264081035","CSX Corp","United States of America"
"US7591EP1005","Regions Financial Corp","United States of America"
"CA89346D1078","TransAlta Corp","Canada"
"CA29250N1050","Enbridge Inc","Canada"
"CA8667961053","Sun Life Financial Inc","Canada"
"RU0009046510","Severstal' PAO","Russia"
"JP3942400007","Astellas Pharma Inc","Japan"
"INE016A01026","Dabur India Ltd","India"
"BE0974256852","Etablissementen Franz Colruyt NV","Belgium"
"US00766T1007","AECOM","United States of America"
"HK0941009539","China Mobile Ltd","China"
"JP3657400002","Nikon Corp","Japan"
"JP3414750004","Seiko Epson Corp","Japan"
"US9291601097","Vulcan Materials Co","United States of America"
"MXP225611567","Cemex SAB de CV","Mexico"
"GB0000510312","Bank of Ireland","Ireland; Republic of"
"US0846701086","Berkshire Hathaway Inc","United States of America"
"US7045511000","Peabody Energy Corp","United States of America"
"US12653C1080","CNX Resources Corp","United States of America"
"US89417E1091","Travelers Companies Inc","United States of America"
"HK0992009065","Lenovo Group Ltd","China"
"CH0114405324","Garmin Ltd","Switzerland"
"INE860A01027","HCL Technologies Ltd","India"
"US49456B1017","Kinder Morgan Inc","United States of America"
"ZAE000132577","Vodacom Group Ltd","South Africa"
"US2193501051","Corning Inc","United States of America"
"US65339F1012","Nextera Energy Inc","United States of America"
"KYG875721634","Tencent Holdings Ltd","China"
"BE0003565737","KBC Groep NV","Belgium"
"US03073E1055","AmerisourceBergen Corp","United States of America"
"GB00B7KR2P84","easyJet plc","United Kingdom"
"US5717481023","Marsh & McLennan Companies Inc","United States of America"
"DE0005439004","Continental AG","Germany"
"US3724601055","Genuine Parts Co","United States of America"
"FR0013176526","Valeo SA","France"
"KR7000270009","Kia Corp","Korea; Republic (S. Korea)"
"NL0000395903","Wolters Kluwer NV","Netherlands"
"IT0005239360","UniCredit SpA","Italy"
"IT0000072618","Intesa Sanpaolo SpA","Italy"
"AU000000CBA7","Commonwealth Bank of Australia","Australia"
"JP3890350006","Sumitomo Mitsui Financial Group Inc","Japan"
"JP3885780001","Mizuho Financial Group Inc","Japan"
"MXP370841019","Grupo Mexico SAB de CV","Mexico"
"CA8787422044","Teck Resources Ltd","Canada"
"US9129091081","United States Steel Corp","United States of America"
"LU0156801721","Tenaris SA","Luxembourg"
"JP3402600005","Sumitomo Metal Mining Co Ltd","Japan"
"US61945C1036","Mosaic Co","United States of America"
"JP3621000003","Toray Industries Inc","Japan"
"US0536111091","Avery Dennison Corp","United States of America"
"FR0000125007","Compagnie de Saint Gobain SA","France"
"IE0001827041","CRH plc","Ireland; Republic of"
"JP3112000009","AGC Inc","Japan"
"ES0167050915","ACS Actividades de Construccion y Servicios SA","Spain"
"US34964C1062","Fortune Brands Innovations Inc","United States of America"
"ES0125220311","Acciona SA","Spain"
"KR7006360002","GS Engineering & Construction Corp","Korea; Republic (S. Korea)"
"US8243481061","Sherwin-Williams Co","United States of America"
"SE0007100581","Assa Abloy AB","Sweden"
"FR0000130452","Eiffage SA","France"
"ES0182870214","Sacyr SA","Spain"
"JP3486800000","Daito Trust Construction Co Ltd","Japan"
"JP3626800001","Lixil Corp","Japan"
"ES0118900010","Ferrovial SA","Unable to resolve all requested identifiers."
"JP3190000004","Obayashi Corp","Japan"
"JP3210200006","Kajima Corp","Japan"
"JP3358800005","Shimizu Corp","Japan"
"NO0003733800","Orkla ASA","Norway"
"JP3258000003","Kirin Holdings Co Ltd","Japan"
"US1344291091","Campbell Soup Co","United States of America"
"JP3119600009","Ajinomoto Co Inc","Japan"
"JP3116000005","Asahi Group Holdings Ltd","Japan"
"GB00BDCPN049","Coca-Cola European Partners PLC","United Kingdom"
"CH0198251305","Coca Cola HBC AG","Switzerland"
"DE0005810055","Deutsche Boerse AG","Germany"
"JP3899600005","Mitsubishi Estate Co Ltd","Japan"
"US8574771031","State Street Corp","United States of America"
"HK0016000132","Sun Hung Kai Properties Ltd","Hong Kong"
"CA1130041058","BROOKFIELD ASSET MANAGEMENT LTD","Canada"
"US8288061091","Simon Property Group Inc","United States of America"
"US14040H1059","Capital One Financial Corp","United States of America"
"JP3893200000","Mitsui Fudosan Co Ltd","Japan"
"TW0002882008","Cathay Financial Holding Co Ltd","Taiwan"
"US3546131018","Franklin Resources Inc","United States of America"
"JP3200450009","Orix Corp","Japan"
"AU000000AMP6","AMP Ltd","Australia"
"GB00BYW0PQ60","Land Securities Group plc","United Kingdom"
"JP3502200003","Daiwa Securities Group Inc","Japan"
"US29476L1070","Equity Residential","United States of America"
"US78442P1066","SLM Corp","United States of America"
"US91324P1021","UnitedHealth Group Inc","United States of America"
"US0367521038","Elevance Health, Inc.","United States of America"
"DK0060534915","Novo Nordisk A/S","Unable to resolve all requested identifiers."
"JP3475350009","Daiichi Sankyo Co Ltd","Japan"
"US98956P1021","Zimmer Biomet Holdings Inc","United States of America"
"US1011371077","Boston Scientific Corp","United States of America"
"US1255231003","Cigna Corp","United States of America"
"US9113121068","United Parcel Service Inc","United States of America"
"US2441991054","Deere & Co","United States of America"
"JP3893600001","Mitsui & Co Ltd","Japan"
"US9078181081","Union Pacific Corp","United States of America"
"US3695501086","General Dynamics Corp","United States of America"
"US4523081093","Illinois Tool Works Inc","United States of America"
"US0530151036","Automatic Data Processing Inc","United States of America"
"US55616P1049","Macy's Inc","United States of America"
"CA56501R1064","Manulife Financial Corp","Canada"
"IT0000062072","Assicurazioni Generali SpA","Italy"
"US0010551028","Aflac Inc","United States of America"
"US4165151048","Hartford Financial Services Group Inc","United States of America"
"US59156R1086","MetLife Inc","United States of America"
"JP3910660004","Tokio Marine Holdings Inc","Japan"
"NL0000303709","Aegon NV","Netherlands"
"US5404241086","Loews Corp","United States of America"
"CH0044328745","Chubb Ltd","Switzerland"
"ZAE000255360","Old Mutual Ltd","South Africa"
"GB0005603997","Legal & General Group Plc","United Kingdom"
"US5341871094","Lincoln National Corp","United States of America"
"JP3890310000","MS&AD Insurance Group Holdings Inc","Japan"
"JP3539220008","T&D Holdings Inc","Japan"
"US7433151039","Progressive Corp","United States of America"
"MXP4987V1378","Grupo Televisa SAB","Mexico"
"JP3493800001","Dai Nippon Printing Co Ltd","Japan"
"FR0000130213","Lagardere SCA","France"
"US2787681061","EchoStar Corp","United States of America"
"JP3629000005","Toppan Inc","Japan"
"GB0033986497","ITV plc","United Kingdom"
"US91913Y1001","Valero Energy Corp","United States of America"
"CA1363851017","Canadian Natural Resources Ltd","Canada"
"US25179M1036","Devon Energy Corp","United States of America"
"US03743Q1085","APA Corp (US)","United States of America"
"CA87807B1076","TC Energy Corp","Canada"
"GB0004544929","Imperial Brands PLC","United Kingdom"
"JP3726800000","Japan Tobacco Inc","Japan"
"US2855121099","Electronic Arts Inc","United States of America"
"US23331A1097","D.R. Horton Inc","United States of America"
"JP3422950000","Seven & i Holdings Co Ltd","Japan"
"US8718291078","Sysco Corp","United States of America"
